公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
武汉佰钧成技术有限责任公司,武汉佰钧成技术有限公司,2000人以上,不需要融资,江夏区,Python,不限,本科,5k-8k,"平台好,六险一金"
安徽百得思维信息科技有限公司,百得思维,500-2000人,未融资,洪山区,python开发工程师,1-3年,本科,8k-12k,"平台大,环境好"
武汉安天信息技术有限责任公司,武汉安天,150-500人,未融资,东湖新技术开发区,python开发工程师,1-3年,本科,8k-14k,"五险一金,试用不打折,免费班车,员工旅游"
北京好巧国际旅行社有限公司,好巧,150-500人,B轮,东湖新技术开发区,Python开发工程师,3-5年,本科,8k-15k,"弹性工作,百万医疗,10天年假,高速增长"
湖北百旺金赋科技有限公司,百旺金赋,150-500人,不需要融资,东湖新技术开发区,Python开发,1-3年,本科,6k-10k,"双休,五险一金,14薪,免费班车"
武汉极意网络科技有限公司,极验,50-150人,B轮,东湖新技术开发区,Python（极验验证）,3-5年,不限,9k-18k,双休+弹性工作制+五险一金+餐补
北京神州绿盟信息安全科技股份有限公司,绿盟科技,500-2000人,上市公司,洪山区,python开发工程师,1-3年,本科,15k-25k,年终奖，丰厚补贴，弹性工作，平台好
武汉虹旭信息技术有限责任公司,烽火科技&middot;虹旭信息技术有限公司,150-500人,不需要融资,江夏区,PYTHON开发工程师,1-3年,本科,6k-12k,"央企背景,职业通道,行业前景广,福利完善"
武汉小果科技有限公司,森果,50-150人,天使轮,洪山区,Python开发工程师,1-3年,本科,9k-15k,"技术大牛,团队氛围好,明星团队"
北京旷视科技有限公司,Face++,500-2000人,C轮,江夏区,Python/Golang后端,1-3年,本科,15k-25k,"大牛多,平台大,福利好"
北京联龙博通电子商务技术有限公司,联龙博通,2000人以上,D轮及以上,洪山区,python工程师,3-5年,本科,8k-15k,"pytho,java,nomys,redis"
湖北盛天网络技术股份有限公司,盛天网络,500-2000人,上市公司,东湖新技术开发区,python开发工程师,1-3年,本科,10k-20k,"平台大,上市公司"
武汉卓翰网络科技有限公司,卓翰科技,50-150人,A轮,洪山区,Python研发工程师,1-3年,本科,12k-24k,技术实力强 团队氛围佳
武汉朱雀闻天科技有限公司,朱雀闻天,15-50人,未融资,东湖新技术开发区,Python开发工程师,不限,本科,10k-20k,"教育大数据,数学建模,数据超市,深度学习"
京北方信息技术股份有限公司武汉分公司,京北方,2000人以上,上市公司,东湖新技术开发区,python开发,3-5年,本科,9k-18k,"带薪年假,五险一金,年终奖金,调薪机制"
武汉小果科技有限公司,森果,50-150人,天使轮,洪山区,高级Python开发工程师,3-5年,本科,15k-20k,"技术大牛,团队氛围好,明星团队"
武汉佰钧成技术有限责任公司,武汉佰钧成技术有限公司,2000人以上,不需要融资,东湖新技术开发区,Python,3-5年,大专,15k-30k,"牛人团队,薪资高,福利好"
武汉诸相网络科技有限公司,武汉诸相网络,50-150人,天使轮,江夏区,python,3-5年,大专,8k-15k,五险一金，周末双休，弹性工作
北京优帆科技有限公司,青云,150-500人,D轮及以上,东湖新技术开发区,Python工程师,3-5年,本科,12k-24k,"六险一金,弹性工时,员工体检,年终奖"
